SpecimenID	ID_Lab	Genus	Species	DM_SP	DGroup	data_UCE	data_wanatomy	data_NIRS_hw	data_NIRS_sw	data_NIRS_core_sw	data_NIRS_core_hw	data_NIRS_block_sw	data_NIRS_block_hw	data_massspec	silicagel_leaf	voucher_leaf	heartwood_souche_ETH	heartwood_tronc_ETH	heartwood_carotte_ETH	heartwood_ETH	Bloc_ESSA	Core_ESSA	Heartwood_ESSA	Sapwood_ESSA	Bio01_temp.annual	Bio02_temp.diurnal	Bio03_isothermality	Bio04_temp.seasonality	Bio05_temp.warmestM	Bio06_temp.coldestM	Bio07_temp.range	Bio08_temp.wettestQ	Bio09_temp.driestQ	Bio10_temp.warmestQ	Bio11_temp.coldestQ	Bio12_prec.annual	Bio13_prec.wettestM	Bio14_prec.driestM	Bio15_prec.seasonality	Bio16_prec.wettestQ	Bio17_prec.driestQ	Bio18_prec.warmestQ	Bio19_prec.coldestQ	elevation	geol	eco2017	imputed
101237166	ALR2552	Dalbergia	monticola	NA	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	181	68	506	2428	242	108	135	210	159	210	145	1575	275	34	67	815	112	815	176	102908	4	Madagascar subhumid forests	FALSE
101237167	ALR2553	Dalbergia	monticola	NA	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	181	68	506	2428	242	108	135	210	159	210	145	1575	275	34	67	815	112	815	176	102908	4	Madagascar subhumid forests	FALSE
101237169	ALR2555	Dalbergia	pervillei	NA	Pervillei	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	211	95	529	2597	291	112	179	235	174	235	168	914	278	3	108	694	10	376	16	76149	3	Madagascar succulent woodlands	FALSE
101237170	ALR2556	Dalbergia	pervillei	NA	Pervillei	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	211	95	529	2597	291	112	179	235	174	235	168	914	278	3	108	694	10	376	16	76149	3	Madagascar succulent woodlands	FALSE
101237171	ALR2557	Dalbergia	greveana	NA	Greveana	N9	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	211	95	529	2597	291	112	179	235	174	235	168	914	278	3	108	694	10	376	16	76149	3	Madagascar succulent woodlands	FALSE
101237241	ALR2558	Dalbergia	greveana	NA	Greveana	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	0	1	1	1	211	95	529	2597	291	112	179	235	174	235	168	914	278	3	108	694	10	376	16	76149	3	Madagascar succulent woodlands	FALSE
101237242	ALR2559	Dalbergia	cf._purpurascens	DM_SP60	Greveana	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	211	95	529	2597	291	112	179	235	174	235	168	914	278	3	108	694	10	376	16	76149	3	Madagascar succulent woodlands	FALSE
101237245	ALR2562	Dalbergia	monticola	NA	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	0	1	1	1	178	73	515	2503	241	99	142	207	140	207	140	1446	302	26	84	890	83	754	83	119400	4	Madagascar subhumid forests	FALSE
101237246	ALR2563	Dalbergia	monticola	NA	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	0	1	1	1	177	73	516	2502	240	99	142	206	139	206	139	1449	302	25	84	892	83	755	83	119228	4	Madagascar subhumid forests	FALSE
101237251	ALR2567	Dalbergia	bracteolata	NA	Bracteolata	prio_geo	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	208	76	504	2610	276	125	151	236	167	236	167	775	176	8	94	520	28	520	28	64780	4	Madagascar subhumid forests	FALSE
